Date,Manufacturer,Category,Region,Production_Volume,Average_Price,GDP_Growth,Steel_Price,Oil_Price,Interest_Rate,US_Tariff_Rate,US_EV_Subsidy,EV_Share
2010-01-31,Toyota,Passenger_Cars,North_America,29301,27967.86,0.0225,679.18,54.87,0.0238,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,Europe,35527,27866.61,0.0188,689.06,61.1,0.0344,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,Asia_Pacific,44022,26196.16,0.0279,706.06,70.76,0.0211,0.025,7500,0.0333
2010-01-31,Toyota,Passenger_Cars,China,43397,27819.39,0.0183,711.55,88.18,0.0401,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,North_America,8934,48857.54,0.0217,703.87,57.76,0.0295,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,Europe,11399,48849.24,0.0258,707.18,73.29,0.0174,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,Asia_Pacific,10912,50281.68,0.0239,687.3,51.19,0.0189,0.025,7500,0.0333
2010-01-31,Toyota,Commercial_Vehicles,China,12964,49594.59,0.0211,675.68,70.39,0.0263,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,North_America,1409,43828.5,0.0173,674.93,68.75,0.0264,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,Europe,2058,43229.38,0.0178,697.51,66.9,0.0305,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,Asia_Pacific,2548,44220.68,0.0243,715.07,63.17,0.0331,0.025,7500,0.0333
2010-01-31,Toyota,Electric_Vehicles,China,2190,44318.93,0.0234,644.97,63.44,0.0346,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,North_America,28546,28046.02,0.0153,681.21,79.68,0.0301,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,Europe,30484,28321.87,0.02,682.93,66.49,0.0282,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,Asia_Pacific,47378,27757.01,0.0182,719.35,86.05,0.0305,0.025,7500,0.0333
2010-01-31,Volkswagen,Passenger_Cars,China,50152,27557.41,0.0195,691.3,76.67,0.0304,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,North_America,7963,50196.8,0.0133,733.32,77.76,0.0317,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,Europe,8353,53705.97,0.0233,678.33,84.75,0.0278,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,Asia_Pacific,11903,50392.19,0.0145,682.0,83.3,0.0288,0.025,7500,0.0333
2010-01-31,Volkswagen,Commercial_Vehicles,China,12540,52221.78,0.0262,698.67,85.11,0.0317,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,North_America,1423,47611.53,0.0198,718.66,76.72,0.0329,0.025,7500,0.0333
